배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
진,YUE XIANG,41,PAL,2024-06-13T19:00:00.000Z,,1971
"V,F3,D,G,G",C.FREEDOM,SKI 3,DONG,2024-06-13T09:00:00.000Z,,162044
"S,N",KEOJE CORDELIA,PAL,N-HOB,2024-06-13T17:30:00.000Z,,8689
"S,미",PACIFIC SAMBU,PAL,SKI 2,2024-06-13T16:00:00.000Z,,2748
Q,JIAN RUI 7,PAL,N13,2024-06-13T07:30:00.000Z,,2612
K,HEUNG-A HAIPHONG,HJIT2,NPPS,2024-06-13T07:00:00.000Z,,9960
"W,미",POLARIS,E5,SKI 4,2024-06-13T06:30:00.000Z,,11290
S,RUN FENG,PAL,N52,2024-06-13T06:00:00.000Z,KN,1498
K,SITC ZHEJIANG,HJIT1,NPPS,2024-06-13T03:00:00.000Z,LO,17119
Q,PEGASUS GLORY,E1CT,PAL,2024-06-13T21:00:00.000Z,,9908
M,수성 1호,SAMPYO,PAL,2024-06-13T20:00:00.000Z,,5969
"I,K",CONCERTO,NPPS,HJIT2,2024-06-13T12:00:00.000Z,,9972
E,유진,PAL,HIDC,2024-06-13T21:30:00.000Z,,4727
"Q,S",SEONGHO PIOCE,PAL,SKI 4,2024-06-14T15:30:00.000Z,,3698
"L,I",XIN TAI PING,NPPS,HJIT2,2024-06-14T14:00:00.000Z,,5275
W,DB SUNNY,PAL,HIT,2024-06-14T13:00:00.000Z,,1599
"O,Q",KEOJE YUBIA,GSD,PAL,2024-06-14T07:30:00.000Z,,1996
I,DONGJIN CONFIDENT,NPPS,SNCT2,2024-06-14T07:00:00.000Z,,18340
,CS SUMMER,PAL,W4,2024-06-14T10:00:00.000Z,SK,7675
"V,F1,H,G,A,F1,H,G",M.STAR,JANG,SKI 3,2024-06-14T07:00:00.000Z,LO,160705
"N,E",WOO SEOK,PAL,SKI 2,2024-06-14T08:30:00.000Z,,2362
"동,진",GLORY STAR,52,PAL,2024-06-14T08:00:00.000Z,SK,4562
"O,W",POLARIS,SKI 4,PAL,2024-06-14T06:30:00.000Z,GH,11290
"T,E",FC DELLA,PAL,N-HOB,2024-06-14T05:30:00.000Z,,4956
"O,W",TIAN ZHUI,N42,PAL,2024-06-14T01:00:00.000Z,YM,8574
"미,S",TY XU RUI,N21,PAL,2024-06-14T18:00:00.000Z,,8393
M,HARMONY YUN GANG,PAL,NIPT1,2024-06-14T15:30:00.000Z,,35187
"I,K",SM TOKYO,HJIT2,NPPS,2024-06-14T14:00:00.000Z,,9928
"O,W",NEWZENBERG,PAL,N45,2024-06-14T07:00:00.000Z,KU,4801
"O,해,해,진",한나래,PAL,12,2024-06-14T13:00:00.000Z,,6280
J,EVER OBEY,ICT2,PAL,2024-06-14T07:00:00.000Z,YM,27025
"해,Q",HAN YU DREAM,PAL,GSD,2024-06-14T09:30:00.000Z,,2114
B,HUADONG PEARL 8,PAL,NIPT5,2024-06-14T08:30:00.000Z,KB,35092
"해,N",NO.8 SJ GAS,PAL,SKI 1,2024-06-14T07:00:00.000Z,,2981
"X,Y,송,J",HYUNDAI  COSMOPIA,JANG,LNG1,2024-06-14T08:00:00.000Z,OS,113998
"E,N",DL AMBER,SKI 3,PAL,2024-06-14T06:00:00.000Z,KN,7333
"V,T",Torm Cavatina,SKI 1,W10,2024-06-14T05:30:00.000Z,SK,27061
"Q,E",XIN YU JIN XIANG,PAL,NIPT6,2024-06-14T00:10:00.000Z,KU,12304
T,MORNING VICTORY,RHC,PAL,2024-06-14T22:00:00.000Z,,5222
K,SAWASDEE SIRIUS,SNCT1,NPPS,2024-06-14T17:00:00.000Z,,18051
"V,S",ARAFURA LILY,PAL,NIPT6,2024-06-14T14:30:00.000Z,,12335
R,KEUN YANG,SSC,PAL,2024-06-14T13:00:00.000Z,,5996
K,PACIFIC CARRIER,HJIT1,NPPS,2024-06-14T07:00:00.000Z,BC,9940
"L,K",A ROKKO,NPPS,HJIT1,2024-06-14T12:30:00.000Z,,9562
"성,미",AN DONG 68,SNCT2,NPPS,2024-06-14T07:00:00.000Z,KB,3988
"O,M",WOO HYUK,PAL,SOD1,2024-06-14T08:30:00.000Z,,5025
M,WOO CHAN,SOD1,PAL,2024-06-14T08:00:00.000Z,,8539
I,INCHEON VOYAGER,NPPS,HJIT3,2024-06-14T06:30:00.000Z,,27828
"Q,S",MEGA PIONEER,KIST,JAK,2024-06-14T07:30:00.000Z,BJ,3543
